Tiempo,Volt
2.54e-06,0.7711718974132714
2.57e-06,0.7698732772428427
2.59e-06,0.7685782900678108
2.62e-06,0.767286534166839
2.64e-06,0.7659975926774135
2.67e-06,0.7647110348416644
2.69e-06,0.7634264172885785
2.72e-06,0.7621432853496563
2.74e-06,0.7608611744049921
2.77e-06,0.7595796112566736
2.79e-06,0.7582981155263254
2.82e-06,0.75701620107356
2.84e-06,0.7557333774320432
2.87e-06,0.7544491512598317
2.89e-06,0.7531630278006048
2.92e-06,0.7518745123523709
2.94e-06,0.7505831117402192
2.97e-06,0.7492883357896606
2.99e-06,0.7479896987970952
3.02e-06,0.7466867209939553
3.04e-06,0.745378930001065
3.07e-06,0.7440658622697915
3.09e-06,0.7427470645065755
3.12e-06,0.7414220950774733
3.14e-06,0.7400905253893733
3.17e-06,0.7387519412446131
3.19e-06,0.737405944165765
3.22e-06,0.7360521526874398
3.24e-06,0.7346902036120188
3.27e-06,0.7333197532263124
3.29e-06,0.7319404784762256
3.32e-06,0.7305520780966112
3.34e-06,0.729154273693589
3.37e-06,0.7277468107767183
3.39e-06,0.7263294597385257
3.42e-06,0.7249020167790104
3.44e-06,0.7234643047728764
3.47e-06,0.7220161740773712
3.49e-06,0.7205575032787467
3.52e-06,0.7190881998755034
3.54e-06,0.717608200896719
3.57e-06,0.7161174734539175
3.59e-06,0.7146160152250883
3.62e-06,0.7131038548696191
3.64e-06,0.7115810523730676
3.67e-06,0.710047699320864
3.69e-06,0.7085039191001954
3.72e-06,0.7069498670294927
3.74e-06,0.7053857304151124
3.77e-06,0.703811728534968
3.79e-06,0.7022281125490416
3.82e-06,0.7006351653368765
3.84e-06,0.6990332012623153
3.87e-06,0.6974225658659268
3.89e-06,0.6958036354857278
3.92e-06,0.6941768168069714
3.94e-06,0.6925425463419446
3.97e-06,0.690901289840878
3.99e-06,0.6892535416352275
4.02e-06,0.6875998239147546
4.04e-06,0.6859406859399743
4.07e-06,0.6842767031917018
4.09e-06,0.6826084764595656
4.12e-06,0.6809366308715054
4.14e-06,0.6792618148664029
4.17e-06,0.6775846991121317
4.19e-06,0.6759059753714327
4.22e-06,0.6742263553181543
4.24e-06,0.6725465693064941
4.27e-06,0.6708673650960053
4.29e-06,0.6691895065352224
4.32e-06,0.6675137722068585
4.34e-06,0.6658409540376206
4.37e-06,0.6641718558757574
4.39e-06,0.662507292039548
4.42e-06,0.660848085839985
4.44e-06,0.6591950680809815
4.47e-06,0.6575490755404702
4.49e-06,0.6559109494358123
4.52e-06,0.6542815338769712
4.54e-06,0.6526616743109178
4.57e-06,0.6510522159607789
4.59e-06,0.6494540022632179
4.62e-06,0.6478678733075717
4.64e-06,0.6462946642802336
4.67e-06,0.6447352039177779
4.69e-06,0.6431903129722869
4.72e-06,0.6416608026923158
4.74e-06,0.6401474733228916
4.77e-06,0.6386511126278894
4.79e-06,0.6371724944380899
4.82e-06,0.635712377228138
4.84e-06,0.6342715027255723
4.87e-06,0.6328505945550088
4.89e-06,0.6314503569204724
4.92e-06,0.6300714733287951
4.94e-06,0.6287146053568841
4.97e-06,0.6273803914655669
4.99e-06,0.6260694458626128
5.02e-06,0.6247823574174042
5.04e-06,0.6235196886296163
