x-axis,1,2,F1
second,Volt,Volt,Volt
-13.85900E-06,+10.05417721433E+00,+18.67167068300E+00,+8.61770408818E+00
-13.83400E-06,+10.05747568422E+00,+18.67250255561E+00,+8.61524737110E+00
-13.80900E-06,+10.06036522796E+00,+18.67339880112E+00,+8.61324353003E+00
-13.78400E-06,+10.05819916314E+00,+18.67266032196E+00,+8.61468693986E+00
-13.75900E-06,+10.06262468624E+00,+18.67393281720E+00,+8.61152526306E+00
-13.73400E-06,+10.06287584604E+00,+18.67193684304E+00,+8.60928936475E+00
-13.70900E-06,+10.06516967673E+00,+18.67266032196E+00,+8.60770245066E+00
-13.68400E-06,+10.06494851741E+00,+18.67423067373E+00,+8.60950941827E+00
-13.65900E-06,+10.06982073108E+00,+18.67344549784E+00,+8.60383195391E+00
-13.63400E-06,+10.06875609093E+00,+18.67409009359E+00,+8.60556096246E+00
-13.60900E-06,+10.06988073204E+00,+18.67396451369E+00,+8.60430434546E+00
-13.58400E-06,+10.06987734003E+00,+18.67462410968E+00,+8.60496011378E+00
-13.55900E-06,+10.07352036317E+00,+18.67423067373E+00,+8.60093160356E+00
-13.53400E-06,+10.07387509247E+00,+18.67473129732E+00,+8.60107234448E+00
-13.50900E-06,+10.07465857235E+00,+18.67349558658E+00,+8.59906715456E+00
-13.48400E-06,+10.07751472359E+00,+18.67704472631E+00,+8.59975719725E+00
-13.45900E-06,+10.07773249090E+00,+18.67446513728E+00,+8.59694941361E+00
-13.43400E-06,+10.07917266471E+00,+18.67459071718E+00,+8.59564139266E+00
-13.40900E-06,+10.08147229951E+00,+18.67501584961E+00,+8.59376694858E+00
-13.38400E-06,+10.08331800745E+00,+18.67684945937E+00,+8.59374522050E+00
-13.35900E-06,+10.08382032705E+00,+18.67722619907E+00,+8.59361636375E+00
-13.33400E-06,+10.08542987542E+00,+18.67729419011E+00,+8.59208100947E+00
-13.30900E-06,+10.08441943211E+00,+18.67638343432E+00,+8.59218019856E+00
-13.28400E-06,+10.08649790760E+00,+18.67612937246E+00,+8.58984511937E+00
-13.25900E-06,+10.08872495330E+00,+18.67737137727E+00,+8.58885479413E+00
-13.23400E-06,+10.09029530507E+00,+18.67757704639E+00,+8.58749693489E+00
-13.20900E-06,+10.09061566196E+00,+18.67737137727E+00,+8.58697104873E+00
-13.18400E-06,+10.09325404590E+00,+18.67658620139E+00,+8.58354409736E+00
-13.15900E-06,+10.09220779799E+00,+18.67702923612E+00,+8.58504361396E+00
-13.13400E-06,+10.09284270766E+00,+18.67707472679E+00,+8.58444727120E+00
-13.10900E-06,+10.09730260317E+00,+18.67737137727E+00,+8.58029561839E+00
-13.08400E-06,+10.09548109160E+00,+18.67689664605E+00,+8.58163566485E+00
-13.05900E-06,+10.09680028357E+00,+18.67815655316E+00,+8.58157667640E+00
-13.03400E-06,+10.09968982731E+00,+18.67659999558E+00,+8.57712882040E+00
-13.00900E-06,+10.09842581210E+00,+18.67787780498E+00,+8.57967758739E+00
-12.98400E-06,+10.10179830328E+00,+18.67685115538E+00,+8.57526418624E+00
-12.95900E-06,+10.10127955125E+00,+18.67698495149E+00,+8.57591750413E+00
-12.93400E-06,+10.10285811924E+00,+18.67658620139E+00,+8.57393780172E+00
-12.90900E-06,+10.10314508363E+00,+18.67722789507E+00,+8.57431071004E+00
-12.88400E-06,+10.10599882278E+00,+18.67660410368E+00,+8.57083061446E+00
-12.85900E-06,+10.10599882278E+00,+18.67680155659E+00,+8.57102708011E+00
-12.83400E-06,+10.10820649631E+00,+18.67556776800E+00,+8.56757841120E+00
-12.80900E-06,+10.10828684936E+00,+18.67651870030E+00,+8.56844463758E+00
-12.78400E-06,+10.10817069172E+00,+18.67580102550E+00,+8.56784612799E+00
-12.75900E-06,+10.10948988369E+00,+18.67580102550E+00,+8.56653353197E+00
-12.73400E-06,+10.11070987809E+00,+18.67501584961E+00,+8.56451397346E+00
-12.70900E-06,+10.11212826763E+00,+18.67572504438E+00,+8.56380832466E+00
-12.68400E-06,+10.11228022986E+00,+18.67501584961E+00,+8.56295147343E+00
-12.65900E-06,+10.11476665158E+00,+18.67436156778E+00,+8.55982647339E+00
-12.63400E-06,+10.11632637504E+00,+18.67580102550E+00,+8.55969273218E+00
-12.60900E-06,+10.11657753483E+00,+18.67538727516E+00,+8.55902080931E+00
-12.58400E-06,+10.11856163695E+00,+18.67501584961E+00,+8.55667705928E+00
-12.55900E-06,+10.11847306769E+00,+18.67348978247E+00,+8.55524674887E+00
-12.53400E-06,+10.11856163695E+00,+18.67406080920E+00,+8.55572679406E+00
-12.50900E-06,+10.12072287757E+00,+18.67374094227E+00,+8.55323367796E+00
-12.48400E-06,+10.12013198872E+00,+18.67313821906E+00,+8.55322190277E+00
-12.45900E-06,+10.12170234049E+00,+18.67289889362E+00,+8.55142127393E+00
-12.43400E-06,+10.12349867578E+00,+18.67187514607E+00,+8.54859087743E+00
-12.40900E-06,+10.12170234049E+00,+18.67343290970E+00,+8.55195261994E+00
-12.38400E-06,+10.12484304403E+00,+18.67201331411E+00,+8.54739070821E+00
-12.35900E-06,+10.12535840404E+00,+18.67161746607E+00,+8.54646784304E+00
-12.33400E-06,+10.12642643621E+00,+18.67187514607E+00,+8.54566544738E+00
-12.30900E-06,+10.12533232322E+00,+18.67160487793E+00,+8.54649748141E+00
-12.28400E-06,+10.12670277229E+00,+18.67030479430E+00,+8.54381588729E+00
-12.25900E-06,+10.12947766596E+00,+18.66875355088E+00,+8.53948756094E+00
-12.23400E-06,+10.12662633891E+00,+18.67098349863E+00,+8.54456724932E+00
-12.20900E-06,+10.12955409935E+00,+18.66896649398E+00,+8.53963000932E+00
-12.18400E-06,+10.13098462476E+00,+18.66944970524E+00,+8.53868021637E+00
-12.15900E-06,+10.13015802861E+00,+18.66794926664E+00,+8.53800974313E+00
-12.13400E-06,+10.13234203342E+00,+18.66838167306E+00,+8.53626690272E+00
-12.10900E-06,+10.13279641255E+00,+18.66784765698E+00,+8.53528186976E+00
-12.08400E-06,+10.13411560453E+00,+18.66787449158E+00,+8.53397313982E+00
-12.05900E-06,+10.13506657452E+00,+18.66599444892E+00,+8.53115005242E+00
-12.03400E-06,+10.13453176697E+00,+18.66591967385E+00,+8.53159973501E+00
-12.00900E-06,+10.13516818419E+00,+18.66592740011E+00,+8.53097442773E+00
-11.98400E-06,+10.13698969576E+00,+18.66559373899E+00,+8.52881965611E+00
-11.95900E-06,+10.13459515994E+00,+18.66480856310E+00,+8.53044281804E+00
-11.93400E-06,+10.13740585820E+00,+18.66476548452E+00,+8.52758146128E+00
-11.90900E-06,+10.13740585820E+00,+18.66402338722E+00,+8.52684307446E+00
-11.88400E-06,+10.13681738144E+00,+18.66500526223E+00,+8.52840557448E+00
-11.85900E-06,+10.14054656174E+00,+18.66360356894E+00,+8.52327594116E+00
-11.83400E-06,+10.13897620997E+00,+18.66269281315E+00,+8.52393223917E+00
-11.80900E-06,+10.13920460559E+00,+18.66233883764E+00,+8.52335277989E+00
-11.78400E-06,+10.14209414933E+00,+18.66089406577E+00,+8.51901607567E+00
-11.75900E-06,+10.14082048573E+00,+18.66074572168E+00,+8.52015557009E+00
-11.73400E-06,+10.14159672931E+00,+18.66009995758E+00,+8.51872051703E+00
-11.70900E-06,+10.14213477812E+00,+18.65891527781E+00,+8.51699405618E+00
-11.68400E-06,+10.14417172028E+00,+18.65879863021E+00,+8.51484760735E+00
-11.65900E-06,+10.14653618024E+00,+18.65931233190E+00,+8.51299766171E+00
-11.63400E-06,+10.14517635947E+00,+18.65931233190E+00,+8.51435131503E+00
-11.60900E-06,+10.14211691351E+00,+18.65784724564E+00,+8.51596148535E+00
-11.58400E-06,+10.14414895609E+00,+18.65695680425E+00,+8.51302919971E+00
-11.55900E-06,+10.14511296650E+00,+18.65574287778E+00,+8.51085106991E+00
-11.53400E-06,+10.14622162746E+00,+18.65743880945E+00,+8.51144648687E+00
-11.50900E-06,+10.14647278726E+00,+18.65624644112E+00,+8.50998576230E+00
-11.48400E-06,+10.14693199059E+00,+18.65533444159E+00,+8.50862141545E+00
-11.45900E-06,+10.14525761706E+00,+18.65388966972E+00,+8.50884986911E+00
-11.43400E-06,+10.14800002276E+00,+18.65460127659E+00,+8.50682922425E+00
-11.40900E-06,+10.14931921474E+00,+18.65381610070E+00,+8.50471096415E+00
-11.38400E-06,+10.14592735140E+00,+18.65336579199E+00,+8.50766222509E+00
-11.35900E-06,+10.14996867237E+00,+18.65146057305E+00,+8.50172100377E+00
-11.33400E-06,+10.14856573534E+00,+18.65005763602E+00,+8.50172100377E+00
-11.30900E-06,+10.15294188579E+00,+18.65067539716E+00,+8.49795829429E+00
-11.28400E-06,+10.14996867237E+00,+18.64989022128E+00,+8.50013408968E+00
-11.25900E-06,+10.14996867237E+00,+18.64890593416E+00,+8.49915472400E+00
-11.23400E-06,+10.14996867237E+00,+18.64831986951E+00,+8.49857158966E+00
-11.20900E-06,+10.15262740840E+00,+18.64729370986E+00,+8.49488070438E+00
-11.18400E-06,+10.15287856820E+00,+18.64663411388E+00,+8.49397450237E+00
-11.15900E-06,+10.14998902445E+00,+18.64675969378E+00,+8.49699896448E+00
-11.13400E-06,+10.15440821580E+00,+18.64545067785E+00,+8.49125479123E+00
-11.10900E-06,+10.15415705600E+00,+18.64570183765E+00,+8.49175850399E+00
-11.08400E-06,+10.15390589620E+00,+18.64517916596E+00,+8.49149225441E+00
-11.05900E-06,+10.15420009689E+00,+18.64309631855E+00,+8.48911506087E+00
-11.03400E-06,+10.15438552699E+00,+18.64189136208E+00,+8.48773162622E+00
-11.00900E-06,+10.15166814681E+00,+18.64201694198E+00,+8.49055970237E+00
-10.98400E-06,+10.15352561373E+00,+18.64057217011E+00,+8.48727140830E+00
-10.95900E-06,+10.15402793333E+00,+18.63991257412E+00,+8.48611139753E+00
-10.93400E-06,+10.15539016619E+00,+18.63932771551E+00,+8.48415676779E+00
-10.90900E-06,+10.15625007945E+00,+18.63841695973E+00,+8.48239495208E+00
-10.88400E-06,+10.15539491501E+00,+18.63811258299E+00,+8.48293742639E+00
-10.85900E-06,+10.15782043122E+00,+18.63732740711E+00,+8.47972393313E+00
-10.83400E-06,+10.15496917955E+00,+18.63433142950E+00,+8.47957993082E+00
-10.80900E-06,+10.15545830799E+00,+18.63438464643E+00,+8.47915235366E+00
-10.78400E-06,+10.15532677322E+00,+18.63451022633E+00,+8.47940202797E+00
-10.75900E-06,+10.15714828479E+00,+18.63295242501E+00,+8.47602564734E+00
-10.73400E-06,+10.15552170096E+00,+18.63261635180E+00,+8.47731712466E+00
-10.70900E-06,+10.15450990084E+00,+18.63174626249E+00,+8.47746467195E+00
-10.68400E-06,+10.15790176418E+00,+18.63026082414E+00,+8.47258607819E+00
-10.65900E-06,+10.15715544571E+00,+18.62930940187E+00,+8.47238326440E+00
-10.63400E-06,+10.15625007945E+00,+18.62712012060E+00,+8.47108135488E+00
-10.60900E-06,+10.15708489181E+00,+18.62790529648E+00,+8.47104340192E+00
-10.58400E-06,+10.15782043122E+00,+18.62609275490E+00,+8.46849662598E+00
-10.55900E-06,+10.15758721141E+00,+18.62554976883E+00,+8.46818840855E+00
-10.53400E-06,+10.15628595942E+00,+18.62397941705E+00,+8.46792037535E+00
-10.50900E-06,+10.15912168321E+00,+18.62332879106E+00,+8.46442732214E+00
-10.48400E-06,+10.15572981987E+00,+18.62135897310E+00,+8.46585034571E+00
-10.45900E-06,+10.15939078300E+00,+18.62043924732E+00,+8.46127205091E+00
